timestamp,temp_C,humidity_%,pressure_hPa,gas_resistance_kOhm,mq135_raw,mq135_voltage,mq135_ratio,mq3_raw,mq3_voltage,mq3_ratio,contamination_level_%,label
1578813,32.01,71.25,1007.89,26.90,2096.90,1.690,0.9529,1647.04,1.327,1.4863,100,best
1584682,32.02,71.24,1007.90,27.07,2096.72,1.690,0.9531,1652.82,1.332,1.4776,100,best
1590551,32.02,71.24,1007.91,26.88,2096.42,1.689,0.9533,1646.40,1.327,1.4872,100,best
1596420,32.02,71.24,1007.91,27.00,2095.24,1.688,0.9544,1640.62,1.322,1.4960,100,best
1602289,32.02,71.24,1007.91,26.90,2094.08,1.688,0.9555,1649.82,1.330,1.4821,100,best
1608158,32.02,71.22,1007.90,26.91,2093.04,1.687,0.9565,1647.50,1.328,1.4856,100,best
1614027,32.03,71.22,1007.90,26.96,2091.96,1.686,0.9575,1651.42,1.331,1.4797,100,best
1619896,32.03,71.22,1007.90,27.07,2090.46,1.685,0.9589,1649.38,1.329,1.4828,100,best
1625765,32.03,71.21,1007.91,27.00,2087.18,1.682,0.9620,1647.64,1.328,1.4854,100,best
1631634,32.03,71.22,1007.92,27.05,2091.42,1.685,0.9580,1647.90,1.328,1.4850,100,best
1637503,32.03,71.21,1007.93,26.98,2084.46,1.680,0.9645,1648.80,1.329,1.4836,100,best
1643372,32.03,71.22,1007.93,27.01,2086.16,1.681,0.9629,1648.38,1.328,1.4843,100,best
1649241,32.03,71.21,1007.94,26.98,2085.18,1.680,0.9639,1649.18,1.329,1.4831,100,best
1655110,32.03,71.20,1007.93,27.03,2082.30,1.678,0.9666,1648.52,1.328,1.4840,100,best
1660979,32.04,71.21,1007.93,27.03,2082.08,1.678,0.9668,1647.28,1.327,1.4859,100,best
1666848,32.04,71.20,1007.94,26.96,2077.86,1.674,0.9708,1654.28,1.333,1.4754,100,best
1672717,32.04,71.20,1007.94,27.12,2078.28,1.675,0.9704,1646.72,1.327,1.4868,100,best
1678586,32.04,71.20,1007.94,27.05,2078.82,1.675,0.9699,1649.74,1.329,1.4822,100,best
1684455,32.04,71.19,1007.94,27.08,2079.16,1.676,0.9695,1643.36,1.324,1.4918,100,best
1690324,32.05,71.19,1007.95,27.14,2065.28,1.664,0.9828,1646.90,1.327,1.4865,100,best
1696193,32.05,71.18,1007.95,27.26,2058.88,1.659,0.9889,1646.32,1.327,1.4874,100,best
